audio_id,bundle,source_pack,source_path,target_path,license,usage
bgm_0001,core,music_pack1_track_1,assetdirectory/audio/normalized/bgm/music_pack1_track_1/1/bgm_music_pack1_track_1_1_1.ogg,bevy-client/assets/audio/bgm/track_01.ogg,CC0_or_pack_license_review,bgm field exploration
bgm_0002,core,music_pack1_track_2,assetdirectory/audio/normalized/bgm/music_pack1_track_2/2/bgm_music_pack1_track_2_2_2.ogg,bevy-client/assets/audio/bgm/track_02.ogg,CC0_or_pack_license_review,bgm calm loop
bgm_0003,core,music_pack1_track_3,assetdirectory/audio/normalized/bgm/music_pack1_track_3/3/bgm_music_pack1_track_3_3_3.ogg,bevy-client/assets/audio/bgm/track_03.ogg,CC0_or_pack_license_review,bgm tension loop
bgm_0004,core,music_pack1_track_4,assetdirectory/audio/normalized/bgm/music_pack1_track_4/4/bgm_music_pack1_track_4_4_4.ogg,bevy-client/assets/audio/bgm/track_04.ogg,CC0_or_pack_license_review,bgm combat loop
sfx_0001,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep00.ogg,bevy-client/assets/audio/sfx/footstep/footstep00.ogg,CC0_or_pack_license_review,locomotion
sfx_0002,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep01.ogg,bevy-client/assets/audio/sfx/footstep/footstep01.ogg,CC0_or_pack_license_review,locomotion
sfx_0003,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep02.ogg,bevy-client/assets/audio/sfx/footstep/footstep02.ogg,CC0_or_pack_license_review,locomotion
sfx_0004,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep03.ogg,bevy-client/assets/audio/sfx/footstep/footstep03.ogg,CC0_or_pack_license_review,locomotion
sfx_0005,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep04.ogg,bevy-client/assets/audio/sfx/footstep/footstep04.ogg,CC0_or_pack_license_review,locomotion
sfx_0006,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep05.ogg,bevy-client/assets/audio/sfx/footstep/footstep05.ogg,CC0_or_pack_license_review,locomotion
sfx_0007,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep06.ogg,bevy-client/assets/audio/sfx/footstep/footstep06.ogg,CC0_or_pack_license_review,locomotion
sfx_0008,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_footstep07.ogg,bevy-client/assets/audio/sfx/footstep/footstep07.ogg,CC0_or_pack_license_review,locomotion
sfx_0009,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_dooropen_1.ogg,bevy-client/assets/audio/sfx/door/dooropen_1.ogg,CC0_or_pack_license_review,interaction
sfx_0010,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_dooropen_2.ogg,bevy-client/assets/audio/sfx/door/dooropen_2.ogg,CC0_or_pack_license_review,interaction
sfx_0011,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_doorclose_1.ogg,bevy-client/assets/audio/sfx/door/doorclose_1.ogg,CC0_or_pack_license_review,interaction
sfx_0012,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_doorclose_4.ogg,bevy-client/assets/audio/sfx/door/doorclose_4.ogg,CC0_or_pack_license_review,interaction
sfx_0013,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_creak1.ogg,bevy-client/assets/audio/sfx/door/creak1.ogg,CC0_or_pack_license_review,interaction
sfx_0014,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_creak3.ogg,bevy-client/assets/audio/sfx/door/creak3.ogg,CC0_or_pack_license_review,interaction
sfx_0015,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_drawknife1.ogg,bevy-client/assets/audio/sfx/combat/drawknife1.ogg,CC0_or_pack_license_review,combat
sfx_0016,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_drawknife2.ogg,bevy-client/assets/audio/sfx/combat/drawknife2.ogg,CC0_or_pack_license_review,combat
sfx_0017,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_knifeslice2.ogg,bevy-client/assets/audio/sfx/combat/knifeslice2.ogg,CC0_or_pack_license_review,combat
sfx_0018,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_chop.ogg,bevy-client/assets/audio/sfx/combat/chop.ogg,CC0_or_pack_license_review,combat
sfx_0019,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_metalclick.ogg,bevy-client/assets/audio/sfx/combat/metalclick.ogg,CC0_or_pack_license_review,combat
sfx_0020,core,rpg_sounds_50_sounds,assetdirectory/audio/normalized/sfx/rpg_sounds_50_sounds/sfx_rpg_sounds_50_sounds_metallatch.ogg,bevy-client/assets/audio/sfx/combat/metallatch.ogg,CC0_or_pack_license_review,combat
sfx_0021,core,100_cc0_sfx_0,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_hit_01.ogg,bevy-client/assets/audio/sfx/combat/hit_01.ogg,CC0,combat hit
sfx_0022,core,100_cc0_sfx_0,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_hit_02.ogg,bevy-client/assets/audio/sfx/combat/hit_02.ogg,CC0,combat hit
sfx_0023,core,100_cc0_sfx_0,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_hit_03.ogg,bevy-client/assets/audio/sfx/combat/hit_03.ogg,CC0,combat hit
sfx_0024,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_click2.ogg,bevy-client/assets/audio/sfx/ui/click2.ogg,CC0_or_pack_license_review,ui
sfx_0025,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_click3.ogg,bevy-client/assets/audio/sfx/ui/click3.ogg,CC0_or_pack_license_review,ui
sfx_0026,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_click4.ogg,bevy-client/assets/audio/sfx/ui/click4.ogg,CC0_or_pack_license_review,ui
sfx_0027,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_click5.ogg,bevy-client/assets/audio/sfx/ui/click5.ogg,CC0_or_pack_license_review,ui
sfx_0028,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_mouseclick1.ogg,bevy-client/assets/audio/sfx/ui/mouseclick1.ogg,CC0_or_pack_license_review,ui
sfx_0029,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_mouserelease1.ogg,bevy-client/assets/audio/sfx/ui/mouserelease1.ogg,CC0_or_pack_license_review,ui
sfx_0030,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_rollover1.ogg,bevy-client/assets/audio/sfx/ui/rollover1.ogg,CC0_or_pack_license_review,ui
sfx_0031,core,ui_sounds_50_sounds,assetdirectory/audio/normalized/sfx/ui_sounds_50_sounds/sfx_ui_sounds_50_sounds_switch1.ogg,bevy-client/assets/audio/sfx/ui/switch1.ogg,CC0_or_pack_license_review,ui
