source_pack,asset_domain,license,license_source,upstream_reference,attribution_required,review_status,notes
kenney_castle_kit,environment,CC0,assetdirectory/pack/kenney/castle-kit/License.txt,https://www.kenney.nl/assets/castle-kit,no,verified,pack-local license file present
kenney_building_kit,environment,CC0,assetdirectory/pack/kenney/building-kit/License.txt,https://www.kenney.nl/assets/building-kit,no,verified,pack-local license file present
kenney_modular_buildings,environment,CC0,assetdirectory/pack/kenney/modular-buildings/License.txt,https://www.kenney.nl/assets/modular-buildings,no,verified,pack-local license file present
kenney_nature_kit,environment,CC0,assetdirectory/pack/kenney/nature-kit/License.txt,https://www.kenney.nl/assets/nature-kit,no,verified,pack-local license file present
kenney_city_kit_industrial,environment,CC0,assetdirectory/pack/kenney/city-kit-industrial/License.txt,https://www.kenney.nl/assets/city-kit-industrial,no,verified,optional bundle
kenney_modular_dungeon_kit,environment,CC0,assetdirectory/pack/kenney/modular-dungeon-kit/License.txt,https://www.kenney.nl/assets/modular-dungeon-kit,no,verified,optional bundle
kenney_blocky_characters,character,CC0,assetdirectory/pack/kenney/blocky-characters/License.txt,https://www.kenney.nl/assets/blocky-characters,no,verified,character variants
threejs_xbot,character,unknown_verify_upstream,assetdirectory/README.md,https://github.com/mrdoob/three.js/tree/dev/examples/models/gltf,unknown,pending,model-level license confirmation required before release
threejs_robot_expressive,character,unknown_verify_upstream,assetdirectory/README.md,https://github.com/mrdoob/three.js/tree/dev/examples/models/gltf,unknown,pending,model-level license confirmation required before release
oga_100_cc0_sfx_0,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,manifest-based source map required at ship time
oga_25_cc0_mud_sfx,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,manifest-based source map required at ship time
oga_100_cc0_wood_metal_sfx,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,manifest-based source map required at ship time
oga_rpg_sounds_50_sounds,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,manifest-based source map required at ship time
oga_ui_sounds_50_sounds,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,manifest-based source map required at ship time
oga_music_pack1_tracks,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,bgm tracks source license final-check
oga_50_cc0_retro_synth_sfx,audio,CC0_or_pack_specific,assetdirectory/audio/normalized/audio_manifest.csv,https://opengameart.org/,unknown,needs_review,optional bundle
