item_def_id,base_price,buy_multiplier,sell_multiplier,fluctuation_rate,last_update
1,10,1.0,0.7,0.05,0
2,15,1.0,0.7,0.05,0
3,25,1.0,0.7,0.08,0
4,8,1.0,0.7,0.03,0
5,20,1.0,0.7,0.04,0
6,50,1.0,0.7,0.06,0
7,100,1.0,0.7,0.1,0
8,5,1.0,0.7,0.02,0
9,12,1.0,0.7,0.04,0
10,30,1.0,0.7,0.05,0
11,3,1.0,0.7,0.02,0
12,6,1.0,0.7,0.03,0
13,15,1.0,0.7,0.04,0
14,40,1.0,0.7,0.06,0
15,2,1.0,0.7,0.01,0
16,8,1.0,0.7,0.03,0
17,20,1.0,0.7,0.05,0
18,25,1.0,0.7,0.04,0
19,60,1.0,0.7,0.07,0
20,150,1.0,0.7,0.12,0
21,500,1.0,0.7,0.15,0
22,2000,1.0,0.7,0.2,0
23,10000,1.0,0.7,0.25,0
24,800,1.0,0.7,0.15,0
25,3000,1.0,0.7,0.18,0
26,8000,1.0,0.7,0.22,0
27,15000,1.0,0.7,0.3,0
28,300,1.0,0.7,0.1,0
29,1000,1.0,0.7,0.12,0
30,2500,1.0,0.7,0.15,0
31,150,1.0,0.7,0.08,0
32,600,1.0,0.7,0.1,0
33,4000,1.0,0.7,0.18,0
34,6000,1.0,0.7,0.2,0
35,12000,1.0,0.7,0.25,0
36,2000,1.0,0.7,0.15,0
37,5000,1.0,0.7,0.18,0
38,50,1.0,0.7,0.05,0
39,150,1.0,0.7,0.08,0
40,400,1.0,0.7,0.1,0
41,200,1.0,0.7,0.1,0
42,800,1.0,0.7,0.12,0
43,2000,1.0,0.7,0.15,0
44,5,1.0,0.7,0.01,0
45,50,1.0,0.7,0.05,0
46,200,1.0,0.7,0.08,0
47,1000,1.0,0.7,0.12,0
48,50000,1.0,0.7,0.3,0
49,100000,1.0,0.7,0.4,0
50,1,1.0,0.7,0.0,0
